term,ccode,section,instructor,organization,expl_lvl,q_treatment,visual,oral,help,interesting,overall,attendance,assign_helpful,printed_notes,textbook,new_material,assign_amount,hours_outside,num_responses,enrolled
1181,['CS 116'],10,Dan Holtby,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,33,50
1185,['MATH 225'],1,Mukto Akash,1.0,3.0,2.0,1.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,3.0,3.0,2.0,17,39
1149,"['STAT 221', 'STAT 231']",1,James Adcock,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,64,240
1141,['STAT 316'],1,Jack Robinson,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5,2.0,1.0,3.0,3.0,2.0,72,131
1155,['MATH 239'],1,Peter Nelson,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.5,2.0,2.0,3.0,3.0,2.0,38,117
1179,['MATH 145'],1,Stephen New,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,52,76
1165,['CO 250'],3,Kanstantsin Pashkovich,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,31,53
1171,['MATH 136'],9,Douglas Park,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,95,191
1159,['CS 115'],8,Safaa Bedawi,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,61,106
1151,['MATH 138'],8,Michael Szestopalow,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,42,60
1155,['ACTSC 631'],1,Ruodo Wang,1.0,3.0,2.0,2.0,2.0,1.5,2.0,2.0,1.0,1.0,1.0,2.5,3.0,3.0,2.0,15,15
1161,['STAT 431'],1,Cecilia Cotton,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,97,144
1159,['CS 135'],8,Dan Holtby,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,56,77
1159,['CS 430'],1,Tian Kou,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,36,56
1159,"['PMATH 451', 'PMATH 651']",1,Nico Spronk,1.0,2.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,1.0,1.5,2.0,2.0,3.0,15,27
1149,['CS 343'],2,Peter Buhr,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,48,82
1131,"['CS 488', 'CS 688']",1,Stephen Mann,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,34,42
1161,['STAT 340'],1,Riley Metzger,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,101,147
1169,['COMM 231'],1,Joe Radocchia,2.0,3.0,2.0,2.5,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,41,154
1179,['CS 115'],7,Sandy Graham,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,54,70
1179,['COMM 433'],1,Peter Blake,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3,8
1131,['STAT 231'],3,Don McLeish,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,27,110
1175,['CS 240'],1,Veronika Irvine,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,39,104
1149,"['CO 430', 'CO 630']",1,Kevin Purbhoo,1.0,2.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.5,4.0,8,11
1161,"['CS 489', 'CS 698']",1,Richard Mann,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,25,38
1151,['CS 116'],1,Lori Case,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,137,233
1185,['STAT 334'],1,Mu Zhu,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,20,33
1179,['MATH 103'],1,Michael Deveau,2.0,3.0,1.5,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,34,42
1169,['ACTSC 615'],1,Steve Bonnar,2.0,3.0,2.0,2.0,2.0,2.0,2.5,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,13,16
1159,['MATH 109'],1,Michelle Ashburner,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,116,156
1159,['CO 370'],1,Ricardo Fukasawa,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,25,84
1171,['CS 138'],1,Michael Godfrey,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,60,135
1141,['STAT 443'],1,Reza Ramezan,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,59,109
1179,['MATH 235'],2,Mohamad Alwan,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,48,111
1131,['MATH 135'],1,Kai Cheong Chan,2.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,53,116
1155,['CS 251'],1,Rosina Kharal Kharal,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,40,104
1131,['CS 436'],1,Noura Limam,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,31,69
1185,['ACTSC 632'],1,Christiane Lemieux,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.5,1.5,1.0,2.5,2.0,3.0,8,14
1151,['CS 246'],1,Nomair Naeem,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,46,87
1161,['CS 115'],2,Collin Roberts,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,35,88
1135,['CS 360'],1,Dan Brown,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,23,47
1155,['MATH 239'],2,Martin Pei,1.0,3.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,56,115
1181,['PMATH 333'],1,Ruxandra Moraru,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,2.0,3.0,3.0,3.0,20,55
1169,['STAT 333'],1,Yi Shen,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,58,116
1131,['STAT 372'],1,Sreenivas Konda,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,64,97
1169,['MATH 135'],23,Peter Nelson,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,45,58
1179,"['CM 740', 'CO 602']",1,Stephen Vavasis,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,1.5,2.0,2.5,2.0,3.0,18,25
1159,['CS 115'],1,Edward Dupont,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,61,103
1141,['CS 370'],1,George Labahn,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.5,3.0,3.0,2.0,45,87
1179,['MATH 136'],2,Jennifer McKinnon,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,37,93
1171,['MATH 138'],3,Mohammad Kohandel,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,88,190
1149,['CO 351'],1,Chaitanya Swamy,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.5,3.0,2.0,2.0,23,31
1151,['MATH 136'],7,Carrie Knoll,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,32,45
1179,['COMM 431'],1,Michael Liu,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,21,25
1139,['MATH 227'],1,Bev Marshman,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,28,80
1179,['MATH 235'],5,William Slofstra,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,88,145
1135,['CS 349'],1,Daniel Vogel,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,29,65
1185,['CS 240'],4,Ahmad Biniaz,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.5,2.0,2.0,3.0,3.0,2.5,40,100
1131,"['ACTSC 446', 'ACTSC 846']",1,Ruodo Wang,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,107,178
1185,['CS 348'],1,Grant Weddell,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,17,47
1175,['CS 234'],2,Reid Charles Kerr,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,51,98
1141,"['AMATH 475', 'AMATH 675', 'PHYS 476']",1,Florian Girelli,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,29,19
1161,['CS 350'],1,Bernard Wong,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,54,96
1181,['PMATH 340'],1,Ertan Elma,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,27,62
1149,['CS 246'],2,Adam Roegiest,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,51,101
1159,['MATH 136'],3,Paul McGrath,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,18,50
1175,['ACTSC 371'],1,Peter Blake,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,77,197
1155,['STAT 230'],3,Diana Skrzydlo,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,55,132
1179,['MATH 127'],4,Kevin Church,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,81,116
1181,['CS 370'],2,George Labahn,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,3.0,3.0,2.5,32,66
1169,['STAT 901'],1,Marius Hofert,1.0,3.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,32,44
1161,['AMATH 373'],1,Zoran Miskovic,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.5,1.0,2.0,3.0,3.0,2.0,24,34
1179,['STAT 341'],1,Ryan Browne,3.5,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,64,117
1181,['CS 492'],2,Robin Cohen,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,2.0,2.0,1.5,3.0,3.0,2.0,38,41
1139,['CS 350'],2,Ken Salem,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,42,62
1179,['CS 136'],3,Dan Holtby,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,49,89
1175,['CO 342'],1,Martin Pei,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,53,71
1155,"['CS 456', 'CS 656']",2,Martin Karsten,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,32,58
1161,['CO 370'],1,Chaitanya Swamy,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,52,116
1181,['MATH 138'],4,Tamas Horvath,2.0,3.0,1.5,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,102,168
1159,['CS 350'],3,Bernard Wong,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,58,89
1159,['MATH 124'],1,Jordan Hamilton,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,160,207
1161,['MATH 138'],7,Douglas Park,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,119,219
1179,"['CS 456', 'CS 656']",1,Sergey Gorbunov,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,40,79
1179,['STAT 202'],2,Dina Dawoud,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,101,250
1141,"['CS 492', 'CS 692']",1,Robin Cohen,1.0,3.0,1.0,2.0,1.0,1.5,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,40,43
1151,['CS 365'],1,Eric Blais,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,17,24
1159,['MATH 138'],1,Jordan Hamilton,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,61,115
1161,['CS 341'],2,Lap Chi Lau,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,29,85
1185,['CS 350'],1,Lesley Ann Istead,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,35,68
1161,['MATH 138'],4,Matthew Kennedy,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,100,192
1165,['ACTSC 221'],1,Peter Blake,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.5,1.0,2.0,2.0,2.0,3.0,3.0,2.0,12,125
1181,['AMATH 342'],1,Sander Rhebergen,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,17,23
1151,['MATH 138'],3,Achim Kempf,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,89,191
1181,"['CO 430', 'CO 630']",1,David Wagner,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5,10
1151,"['STAT 435', 'STAT 835']",1,Stefan Steiner,2.0,3.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0,1.0,2.0,2.0,3.0,2.0,2.0,18,25
1161,['CS 240'],2,Iakov Nekrich,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.5,2.0,2.0,2.0,3.0,3.0,2.0,24,65
1131,['CS 349'],2,Edward Lank,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.5,3.0,2.0,3.0,80,114
1155,"['CS 446', 'CS 646', 'ECE 452']",1,Ed Barsalou,2.0,3.0,1.5,2.0,2.0,2.0,2.0,2.0,1.5,2.0,2.0,1.5,3.0,3.0,2.0,24,80
1139,['CS 335'],1,Duy-Minh Dang,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,59,84
1139,['CS 245'],2,Jonathan Buss,3.5,2.0,3.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,16,73
1155,['STAT 333'],1,Pengfei Li,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.5,3.0,3.0,2.0,120,184
1169,['MATH 245'],1,David McKinnon,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,37,42
1185,['STAT 372'],1,Matthias Schonlau,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,62,160
1161,['MATH 138'],9,Michael Szestopalow,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,38,65
1141,"['CS 448', 'CS 648']",1,Ihab F. Ilyas Kaldas,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.5,21,36
1139,['CS 246'],2,Brad Lushman,1.0,3.0,2.0,1.0,1.0,2.0,1.5,1.0,1.0,1.5,2.0,2.0,3.0,2.0,4.0,60,80
1179,['ACTSC 615'],1,Mario Ghossoub,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,11,15
1149,['MATH 235'],6,Brendan Rooney,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,24,52
1141,['MATH 138'],9,Dan Wolczuk,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,30,120
1161,['CO 367'],1,Stephen Vavasis,1.0,3.0,1.0,2.0,1.0,1.5,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,18,28
